gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,14850,2048,2048,1,0,44.7495,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a4_tE,2783.74,1915.83,0.0
gfx950,256,14850,2048,8192,2,0,132.297,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a5_tE,3766.4,1212.82,0.0
gfx950,256,544,3072,3072,0,0,22.6021,_ZN5aiter40f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_ntE,454.28,412.1,0.0
gfx950,256,544,3072,12288,0,0,68.8687,_ZN5aiter40f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_ntE,596.36,395.39,0.0
gfx950,256,2080,3072,3072,0,0,22.1671,_ZN5aiter40f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_ntE,1771.04,1005.57,0.0
gfx950,256,2080,3072,12288,0,0,68.4863,_ZN5aiter40f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_ntE,2292.94,742.09,0.0
gfx950,256,512,5120,5120,0,0,32.4488,_ZN5aiter40f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_ntE,827.26,626.1,0.0
gfx950,256,512,5120,13824,0,0,76.7092,_ZN5aiter40f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_ntE,944.84,598.89,0.0
gfx950,256,4095,5120,5120,1,0,80.5846,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a4_tE,2664.23,878.14,0.0
gfx950,256,4095,5120,13824,2,0,181.3603,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a5_tE,3196.28,660.45,0.0
gfx950,256,5850,5120,5120,0,0,83.36,_ZN5aiter40f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_ntE,3679.33,1145.34,0.0
gfx950,256,5850,5120,13824,2,0,194.2426,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a5_tE,4263.29,802.84,0.0
gfx950,256,9419,5120,5120,1,0,124.8281,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a4_tE,3956.06,1167.42,0.0
gfx950,256,9419,5120,13824,2,0,304.517,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a5_tE,4378.52,753.64,0.0
gfx950,256,9450,5120,5120,1,0,125.4505,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a4_tE,3949.38,1165.11,0.0
gfx950,256,9450,5120,13824,2,0,305.3486,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a5_tE,4380.96,753.68,0.0
gfx950,256,13950,5120,5120,3,0,197.154,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_tE,3709.7,1062.74,0.0
gfx950,256,13950,5120,13824,2,0,495.2984,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a5_tE,3986.95,651.87,0.0
gfx950,256,14260,5120,5120,1,0,206.3371,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a4_tE,3623.37,1036.59,0.0
gfx950,256,14260,5120,13824,2,0,492.6031,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a5_tE,4097.85,668.41,0.0
