gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,16,7168,21504,ck,7,0,43.6339,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,113.04,3545.73,0.0
gfx950,256,32,7168,21504,ck,7,0,43.2304,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,228.2,3592.09,0.0
gfx950,256,64,7168,21504,ck,12,0,48.2427,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,408.97,3242.65,0.0
gfx950,256,128,7168,21504,ck,17,0,61.3434,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,643.26,2587.53,0.0
gfx950,256,256,7168,21504,asm,2,1,83.3161,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,947.24,1960.19,0.0
gfx950,256,512,7168,21504,asm,5,1,119.9153,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1316.26,1438.44,0.0
gfx950,256,1024,7168,21504,ck,0,0,194.2068,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1625.48,982.67,0.0
gfx950,256,2048,7168,21504,ck,0,0,364.7943,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1730.73,623.75,0.0
gfx950,256,3072,7168,21504,cktile,11,0,430.7712,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,2198.48,613.41,0.0
gfx950,256,4096,7168,21504,cktile,11,0,640.2367,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1972.27,470.05,0.0
