gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,576,7168,torch.float8_e4m3fn,flydsl,961,7,5.0341,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default_ks7,1.64,821.81,0.0
gfx950,256,2,576,7168,torch.float8_e4m3fn,flydsl,961,7,5.0499,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default_ks7,3.27,820.89,0.0
gfx950,256,4,576,7168,torch.float8_e4m3fn,flydsl,2116,14,5.5256,flydsl_bpreshuflle_16x64x256_F8_F8_B16_0x4x0x1_default_ks14,5.98,753.23,0.0
gfx950,256,8,576,7168,torch.float8_e4m3fn,flydsl,373,7,5.2815,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default_ks7,12.51,794.34,0.0
gfx950,256,16,576,7168,torch.float8_e4m3fn,flydsl,373,7,5.4885,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default_ks7,24.07,776.51,0.0
gfx950,256,32,576,7168,torch.float8_e4m3fn,flydsl,961,7,6.0091,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default_ks7,43.97,731.39,0.0
gfx950,256,64,576,7168,torch.float8_e4m3fn,flydsl,2330,0,7.9182,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x1x0x2_default,66.74,588.68,0.0
gfx950,256,128,576,7168,torch.float8_e4m3fn,flydsl,2409,0,8.0548,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x2x4x1_default,131.22,644.8,0.0
gfx950,256,256,576,7168,torch.float8_e4m3fn,flydsl,2349,0,9.6835,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x2x4x2_default,218.3,646.32,0.0
gfx950,256,512,576,7168,torch.float8_e4m3fn,flydsl,2335,0,12.4165,flydsl_bpreshuflle_32x32x1024_F8_F8_B16_0x1x4x2_default,340.5,675.6,0.0
gfx950,256,1024,576,7168,torch.float8_e4m3fn,flydsl,2341,0,17.638,flydsl_bpreshuflle_32x32x512_F8_F8_B16_1x1x4x2_default,479.4,717.11,0.0
gfx950,256,2048,576,7168,torch.float8_e4m3fn,cktile,217,0,22.0234,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_48x64x256_1x4x1_16x16x128_default,767.88,961.17,0.0
gfx950,256,4096,576,7168,torch.float8_e4m3fn,flydsl,150,0,31.3258,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x0x0x2_default,1079.71,1219.68,0.0
gfx950,256,8192,576,7168,torch.float8_e4m3fn,flydsl,477,0,48.747,flydsl_bpreshuflle_112x192x256_F8_F8_B16_1x1x4x2_default,1387.69,1482.89,0.0
gfx950,256,16384,576,7168,torch.float8_e4m3fn,flydsl,1633,0,74.0965,flydsl_bpreshuflle_112x192x256_F8_F8_B16_1x1x4x1_default,1825.88,1895.42,0.0
