gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2304,6144,torch.float8_e4m3fn,flydsl,2314,0,6.7522,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x2_default,4.19,2098.06,0.0
gfx950,256,2,2304,6144,torch.float8_e4m3fn,flydsl,2314,0,6.7956,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x2_default,8.33,2086.24,0.0
gfx950,256,4,2304,6144,torch.float8_e4m3fn,flydsl,2330,0,6.8357,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x1x0x2_default,16.57,2077.15,0.0
gfx950,256,8,2304,6144,torch.float8_e4m3fn,flydsl,2330,0,6.9191,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x1x0x2_default,32.73,2058.33,0.0
gfx950,256,16,2304,6144,torch.float8_e4m3fn,flydsl,2330,0,7.2576,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x1x0x2_default,62.42,1974.18,0.0
gfx950,256,32,2304,6144,torch.float8_e4m3fn,flydsl,2374,0,7.4222,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x1_default,122.06,1953.58,0.0
gfx950,256,64,2304,6144,torch.float8_e4m3fn,flydsl,2391,0,8.6453,flydsl_bpreshuflle_32x32x1024_F8_F8_B16_0x1x0x1_default,209.59,1716.99,0.0
gfx950,256,128,2304,6144,torch.float8_e4m3fn,flydsl,2319,0,10.2603,flydsl_bpreshuflle_32x32x1024_F8_F8_B16_0x0x4x2_default,353.19,1513.8,0.0
gfx950,256,256,2304,6144,torch.float8_e4m3fn,flydsl,2354,0,15.2544,flydsl_bpreshuflle_32x32x512_F8_F8_B16_1x2x4x2_default,475.13,1108.42,0.0
gfx950,256,512,2304,6144,torch.float8_e4m3fn,flydsl,456,0,20.0982,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x1x4x2_default,721.23,978.24,0.0
gfx950,256,1024,2304,6144,torch.float8_e4m3fn,flydsl,702,0,27.7556,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x2x4x2_default,1044.51,906.69,0.0
gfx950,256,2048,2304,6144,torch.float8_e4m3fn,flydsl,477,0,41.7626,flydsl_bpreshuflle_112x192x256_F8_F8_B16_1x1x4x2_default,1388.37,866.23,0.0
gfx950,256,4096,2304,6144,torch.float8_e4m3fn,flydsl,1882,0,66.3471,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x2x4x1_default,1747.84,877.14,0.0
gfx950,256,8192,2304,6144,torch.float8_e4m3fn,flydsl,235,0,111.2217,flydsl_bpreshuflle_128x192x128_F8_F8_B16_1x0x4x2_default,2085.28,919.21,0.0
gfx950,256,16384,2304,6144,torch.float8_e4m3fn,flydsl,1822,0,197.9575,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x2x0x1_default,2343.21,961.4,0.0
gfx950,256,32768,2304,6144,torch.float8_e4m3fn,flydsl,667,0,389.1415,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x0x2_default,2384.0,941.76,0.0
gfx950,256,1,2560,6144,torch.float8_e4m3fn,flydsl,2390,0,7.4133,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x1x0x1_default,4.24,2123.2,0.0
gfx950,256,2,2560,6144,torch.float8_e4m3fn,flydsl,2346,0,7.4229,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x2x0x2_default,8.48,2121.97,0.0
gfx950,256,4,2560,6144,torch.float8_e4m3fn,flydsl,2346,0,7.4377,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x2x0x2_default,16.92,2120.78,0.0
