gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.8406,sol2,0.0,0.09,88.0
gfx950,256,2,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,196,8,4.1503,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x6_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0156,0.16,83.92
gfx950,256,4,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,29,8,3.8277,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x6_ks8_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0234,0.34,96.38
gfx950,256,8,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,29,8,4.1606,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x6_ks8_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0312,0.63,98.57
gfx950,256,16,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,23,8,4.377,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x5_ks8_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0215,1.2,112.53
gfx950,256,32,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,164,8,4.2694,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x4_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0195,2.46,153.98
gfx950,256,48,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,196,8,4.2466,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x6_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0241,3.7,193.63
gfx950,256,64,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,402,8,4.3002,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x9_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0181,4.88,229.56
gfx950,256,80,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,402,8,4.3558,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x6_ks8_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0203,6.02,264.47
gfx950,256,96,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,760,8,4.4314,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0221,7.1,297.17
