M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
2,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
4,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
8,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
16,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
32,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
48,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
64,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
80,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
96,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
112,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
128,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
144,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
160,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
176,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
192,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
208,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
224,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
240,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
256,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
288,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
320,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
352,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
384,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
416,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
448,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
480,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
512,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
544,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
576,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
608,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
640,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
672,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
704,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
736,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
768,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
800,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
832,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
864,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
896,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
928,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
960,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
992,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1024,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1088,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1152,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1216,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1280,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1344,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1408,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1472,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1536,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1600,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1664,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1728,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1792,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1856,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1920,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1984,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
2048,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
4096,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
6144,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
8192,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
10240,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
12288,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
14336,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
16384,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
32768,32,5120,False,torch.bfloat16,torch.bfloat16,False,False
1,128,512,False,torch.bfloat16,torch.bfloat16,False,False
2,128,512,False,torch.bfloat16,torch.bfloat16,False,False
4,128,512,False,torch.bfloat16,torch.bfloat16,False,False
8,128,512,False,torch.bfloat16,torch.bfloat16,False,False
16,128,512,False,torch.bfloat16,torch.bfloat16,False,False
32,128,512,False,torch.bfloat16,torch.bfloat16,False,False
48,128,512,False,torch.bfloat16,torch.bfloat16,False,False
64,128,512,False,torch.bfloat16,torch.bfloat16,False,False
80,128,512,False,torch.bfloat16,torch.bfloat16,False,False
96,128,512,False,torch.bfloat16,torch.bfloat16,False,False
112,128,512,False,torch.bfloat16,torch.bfloat16,False,False
128,128,512,False,torch.bfloat16,torch.bfloat16,False,False
144,128,512,False,torch.bfloat16,torch.bfloat16,False,False
160,128,512,False,torch.bfloat16,torch.bfloat16,False,False
176,128,512,False,torch.bfloat16,torch.bfloat16,False,False
192,128,512,False,torch.bfloat16,torch.bfloat16,False,False
208,128,512,False,torch.bfloat16,torch.bfloat16,False,False
224,128,512,False,torch.bfloat16,torch.bfloat16,False,False
240,128,512,False,torch.bfloat16,torch.bfloat16,False,False
256,128,512,False,torch.bfloat16,torch.bfloat16,False,False
288,128,512,False,torch.bfloat16,torch.bfloat16,False,False
320,128,512,False,torch.bfloat16,torch.bfloat16,False,False
352,128,512,False,torch.bfloat16,torch.bfloat16,False,False
384,128,512,False,torch.bfloat16,torch.bfloat16,False,False
416,128,512,False,torch.bfloat16,torch.bfloat16,False,False
448,128,512,False,torch.bfloat16,torch.bfloat16,False,False
480,128,512,False,torch.bfloat16,torch.bfloat16,False,False
512,128,512,False,torch.bfloat16,torch.bfloat16,False,False
544,128,512,False,torch.bfloat16,torch.bfloat16,False,False
576,128,512,False,torch.bfloat16,torch.bfloat16,False,False
608,128,512,False,torch.bfloat16,torch.bfloat16,False,False
640,128,512,False,torch.bfloat16,torch.bfloat16,False,False
672,128,512,False,torch.bfloat16,torch.bfloat16,False,False
704,128,512,False,torch.bfloat16,torch.bfloat16,False,False
736,128,512,False,torch.bfloat16,torch.bfloat16,False,False
768,128,512,False,torch.bfloat16,torch.bfloat16,False,False
800,128,512,False,torch.bfloat16,torch.bfloat16,False,False
832,128,512,False,torch.bfloat16,torch.bfloat16,False,False
864,128,512,False,torch.bfloat16,torch.bfloat16,False,False
896,128,512,False,torch.bfloat16,torch.bfloat16,False,False
928,128,512,False,torch.bfloat16,torch.bfloat16,False,False
960,128,512,False,torch.bfloat16,torch.bfloat16,False,False
992,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1024,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1088,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1152,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1216,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1280,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1344,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1408,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1472,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1536,128,512,False,torch.bfloat16,torch.bfloat16,False,False
