gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,nt
gfx950,256,4,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,53.8559,flydsl_moe1_afp8_wfp4_bf16_t16x128x256_w3_gui,0.1%,28.2036,flydsl_moe2_afp8_wfp4_bf16_t16x256x256_atomic_persist,0.0%,82.0595,0,0,0,20.7,41402.25,0
gfx950,256,32,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,162.9864,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui,0.1%,90.8453,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_atomic_bnt2,0.0%,253.8317,0,0,0,53.54,13386.34,0
gfx950,256,64,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,187.6931,flydsl_moe1_afp8_wfp4_bf16_t16x128x256_w3_gui,0.1%,103.6033,flydsl_moe2_afp8_wfp4_bf16_t16x128x256_atomic_bnt2,0.0%,291.2964,0,0,0,93.3,11666.36,0
gfx950,256,512,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,220.466,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_gui,0.1%,122.8781,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_atomic_persist,0.0%,343.3441,0,0,0,633.28,9917.89,0
gfx950,256,1024,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,285.6003,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w2_gui,0.1%,162.7662,flydsl_moe2_afp8_wfp4_bf16_t64x128x256_atomic_bnt2_persist_sbm128,0.0%,448.3665,0,0,0,969.89,7612.33,0
gfx950,256,2048,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,427.3641,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w3_bnt0_gui,0.1%,238.6564,flydsl_moe2_afp8_wfp4_bf16_t64x128x256_atomic_sbm128,0.0%,666.0205,0,0,0,1305.86,5148.26,0
gfx950,256,4096,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,669.5068,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w2_bnt0_gui,0.1%,391.1557,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_atomic_persist_sbm128,0.0%,1060.6625,0,0,0,1639.98,3262.4,0
gfx950,256,8192,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1182.4587,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_bnt0_gui_xcd4,0.1%,705.1314,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_atomic_persist_sbm128,0.0%,1887.5901,0,0,0,1843.05,1866.52,0
gfx950,256,16384,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2117.7124,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w3_bnt0_gui_xcd4,0.1%,1318.1006,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_atomic_persist_sbm128,0.0%,3435.813,0,0,0,2025.09,1062.06,0
gfx950,256,32768,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,4020.7673,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w2_bnt0_gui_xcd4,0.1%,2569.0366,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_atomic_bnt2_xcd4_persist_sbm128,0.0%,6589.8039,0,0,0,2111.7,591.93,0
