M,N,K
1,768,7168
2,768,7168
4,768,7168
8,768,7168
16,768,7168
32,768,7168
48,768,7168
64,768,7168
80,768,7168
96,768,7168
112,768,7168
128,768,7168
144,768,7168
160,768,7168
176,768,7168
192,768,7168
208,768,7168
224,768,7168
240,768,7168
256,768,7168
288,768,7168
320,768,7168
352,768,7168
384,768,7168
416,768,7168
448,768,7168
480,768,7168
512,768,7168
544,768,7168
576,768,7168
608,768,7168
640,768,7168
672,768,7168
704,768,7168
736,768,7168
768,768,7168
800,768,7168
832,768,7168
864,768,7168
896,768,7168
928,768,7168
960,768,7168
992,768,7168
1024,768,7168
1088,768,7168
1152,768,7168
1216,768,7168
1280,768,7168
1344,768,7168
1408,768,7168
1472,768,7168
1536,768,7168
1600,768,7168
1664,768,7168
1728,768,7168
1792,768,7168
1856,768,7168
1920,768,7168
1984,768,7168
2048,768,7168
4096,768,7168
6144,768,7168
8192,768,7168
10240,768,7168
12288,768,7168
14336,768,7168
16384,768,7168
32768,768,7168
1,2048,7168
2,2048,7168
4,2048,7168
8,2048,7168
16,2048,7168
32,2048,7168
48,2048,7168
64,2048,7168
80,2048,7168
96,2048,7168
112,2048,7168
128,2048,7168
144,2048,7168
160,2048,7168
176,2048,7168
192,2048,7168
208,2048,7168
224,2048,7168
240,2048,7168
256,2048,7168
288,2048,7168
320,2048,7168
352,2048,7168
384,2048,7168
416,2048,7168
448,2048,7168
480,2048,7168
512,2048,7168
544,2048,7168
576,2048,7168
608,2048,7168
640,2048,7168
672,2048,7168
704,2048,7168
736,2048,7168
768,2048,7168
800,2048,7168
832,2048,7168
864,2048,7168
896,2048,7168
928,2048,7168
960,2048,7168
992,2048,7168
1024,2048,7168
1088,2048,7168
1152,2048,7168
1216,2048,7168
1280,2048,7168
1344,2048,7168
1408,2048,7168
1472,2048,7168
1536,2048,7168
1600,2048,7168
1664,2048,7168
1728,2048,7168
1792,2048,7168
1856,2048,7168
1920,2048,7168
1984,2048,7168
2048,2048,7168
4096,2048,7168
6144,2048,7168
8192,2048,7168
10240,2048,7168
12288,2048,7168
14336,2048,7168
16384,2048,7168
32768,2048,7168
1,7168,384
2,7168,384
4,7168,384
8,7168,384
16,7168,384
32,7168,384
48,7168,384
64,7168,384
80,7168,384
96,7168,384
112,7168,384
128,7168,384
144,7168,384
160,7168,384
176,7168,384
192,7168,384
208,7168,384
224,7168,384
240,7168,384
256,7168,384
288,7168,384
320,7168,384
352,7168,384
384,7168,384
416,7168,384
448,7168,384
480,7168,384
512,7168,384
544,7168,384
576,7168,384
608,7168,384
640,7168,384
672,7168,384
704,7168,384
736,7168,384
768,7168,384
800,7168,384
832,7168,384
864,7168,384
896,7168,384
928,7168,384
960,7168,384
992,7168,384
1024,7168,384
1088,7168,384
1152,7168,384
1216,7168,384
1280,7168,384
1344,7168,384
1408,7168,384
1472,7168,384
1536,7168,384
1600,7168,384
1664,7168,384
1728,7168,384
1792,7168,384
1856,7168,384
1920,7168,384
1984,7168,384
2048,7168,384
4096,7168,384
6144,7168,384
8192,7168,384
10240,7168,384
12288,7168,384
14336,7168,384
16384,7168,384
32768,7168,384
1,16384,1024
2,16384,1024
4,16384,1024
8,16384,1024
16,16384,1024
32,16384,1024
48,16384,1024
64,16384,1024
80,16384,1024
96,16384,1024
112,16384,1024
128,16384,1024
144,16384,1024
160,16384,1024
176,16384,1024
192,16384,1024
208,16384,1024
224,16384,1024
240,16384,1024
256,16384,1024
288,16384,1024
320,16384,1024
352,16384,1024
384,16384,1024
416,16384,1024
448,16384,1024
480,16384,1024
512,16384,1024
544,16384,1024
576,16384,1024
608,16384,1024
640,16384,1024
672,16384,1024
704,16384,1024
736,16384,1024
768,16384,1024
800,16384,1024
832,16384,1024
864,16384,1024
896,16384,1024
928,16384,1024
960,16384,1024
992,16384,1024
1024,16384,1024
1088,16384,1024
1152,16384,1024
1216,16384,1024
1280,16384,1024
1344,16384,1024
1408,16384,1024
1472,16384,1024
1536,16384,1024
1600,16384,1024
1664,16384,1024
1728,16384,1024
1792,16384,1024
1856,16384,1024
1920,16384,1024
1984,16384,1024
2048,16384,1024
4096,16384,1024
6144,16384,1024
8192,16384,1024
10240,16384,1024
12288,16384,1024
14336,16384,1024
16384,16384,1024
32768,16384,1024
1,16384,1536
2,16384,1536
4,16384,1536
8,16384,1536
16,16384,1536
32,16384,1536
48,16384,1536
64,16384,1536
80,16384,1536
96,16384,1536
112,16384,1536
128,16384,1536
144,16384,1536
160,16384,1536
176,16384,1536
192,16384,1536
208,16384,1536
224,16384,1536
240,16384,1536
256,16384,1536
288,16384,1536
320,16384,1536
352,16384,1536
384,16384,1536
416,16384,1536
448,16384,1536
480,16384,1536
512,16384,1536
544,16384,1536
576,16384,1536
608,16384,1536
640,16384,1536
672,16384,1536
704,16384,1536
736,16384,1536
768,16384,1536
800,16384,1536
832,16384,1536
864,16384,1536
896,16384,1536
928,16384,1536
960,16384,1536
992,16384,1536
1024,16384,1536
1088,16384,1536
1152,16384,1536
1216,16384,1536
1280,16384,1536
1344,16384,1536
1408,16384,1536
1472,16384,1536
1536,16384,1536
1600,16384,1536
1664,16384,1536
1728,16384,1536
1792,16384,1536
1856,16384,1536
1920,16384,1536
1984,16384,1536
2048,16384,1536
4096,16384,1536
6144,16384,1536
8192,16384,1536
10240,16384,1536
12288,16384,1536
14336,16384,1536
16384,16384,1536
32768,16384,1536
1,7168,768
2,7168,768
4,7168,768
8,7168,768
16,7168,768
32,7168,768
48,7168,768
64,7168,768
80,7168,768
96,7168,768
112,7168,768
128,7168,768
144,7168,768
160,7168,768
176,7168,768
192,7168,768
208,7168,768
224,7168,768
240,7168,768
256,7168,768
288,7168,768
320,7168,768
352,7168,768
384,7168,768
416,7168,768
448,7168,768
480,7168,768
512,7168,768
544,7168,768
576,7168,768
608,7168,768
640,7168,768
672,7168,768
704,7168,768
736,7168,768
768,7168,768
800,7168,768
832,7168,768
864,7168,768
896,7168,768
928,7168,768
960,7168,768
992,7168,768
1024,7168,768
1088,7168,768
1152,7168,768
1216,7168,768
1280,7168,768
1344,7168,768
1408,7168,768
1472,7168,768
1536,7168,768
1600,7168,768
1664,7168,768
1728,7168,768
1792,7168,768
1856,7168,768
1920,7168,768
1984,7168,768
2048,7168,768
4096,7168,768
6144,7168,768
8192,7168,768
10240,7168,768
12288,7168,768
14336,7168,768
16384,7168,768
32768,7168,768
