gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,libtype,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,64,96,1,2,1,1,93.6499,conv3d_implicit_t64x96_w1x2_g1,0.0,58.04,2217.01
gfx950,256,1,96,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,96,3,1,1,1,262.6464,conv3d_implicit_t192x96_w3x1_g1,0.0,662.28,1533.69
gfx950,256,1,96,1,1025,1025,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,96,2,1,1,1,96.9208,conv3d_implicit_t128x96_w2x1_g1,0.0,448.68,2602.31
gfx950,256,1,96,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,122.0245,conv3d_implicit_t128x192_w2x2_g1,0.0,712.75,1240.13
gfx950,256,1,192,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,202.0,conv3d_implicit_t128x192_w2x2_g1,0.0,861.12,999.95
gfx950,256,1,192,1,513,513,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,192,2,2,1,1,66.7849,conv3d_implicit_t128x192_w2x2_g1,0.0,651.14,1899.92
gfx950,256,1,192,1,256,256,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,4,1,1,1,104.6142,conv3d_implicit_t128x192_w4x1_g1,0.0,831.37,734.36
gfx950,256,1,384,1,256,256,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,2,8,1,189.3441,conv3d_implicit_t128x128_w2x2_g8,0.0,918.68,545.66
gfx950,256,1,384,1,257,257,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,128,2,2,1,1,68.2712,conv3d_implicit_t128x128_w2x2_g1,0.0,636.97,966.19
gfx950,256,1,384,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,2,8,1,65.5016,conv3d_implicit_t128x128_w2x2_g8,0.0,663.9,424.72
gfx950,256,1,384,1,128,128,32,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,32,32,1,2,1,1,31.1352,conv3d_implicit_t32x32_w1x2_g1,0.0,116.39,444.92
gfx950,256,1,16,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,4,1,1,15.9207,conv3d_implicit_t128x128_w2x4_g1,0.0,113.81,830.23
gfx950,256,1,384,1,256,256,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,4,1,1,1,108.9976,conv3d_implicit_t128x192_w4x1_g1,0.0,797.94,704.83
gfx950,256,1,384,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,417.5452,conv3d_implicit_t128x192_w2x2_g1,0.0,833.18,726.43
gfx950,256,1,192,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,2,1,1,410.0788,conv3d_implicit_t128x128_w2x2_g1,0.0,848.35,1473.65
gfx950,256,1,96,1,1024,1024,3,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,32,2,1,1,1,145.2614,conv3d_implicit_t128x32_w2x1_g1,0.0,37.42,1429.31
gfx950,256,1,3,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,96,3,2,1,1,139.8644,conv3d_implicit_t192x96_w3x2_g1,0.0,65.37,2496.67
gfx950,256,1,96,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,96,3,1,1,1,439.3565,conv3d_implicit_t192x96_w3x1_g1,0.0,665.88,1541.76
gfx950,256,1,96,1,1329,1329,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,192,128,2,2,1,1,152.9558,conv3d_implicit_t192x128_w2x2_g1,0.0,478.17,2771.63
gfx950,256,1,96,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,195.2327,conv3d_implicit_t128x192_w2x2_g1,0.0,749.25,1302.49
gfx950,256,1,192,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,343.4935,conv3d_implicit_t128x192_w2x2_g1,0.0,851.71,987.71
gfx950,256,1,192,1,665,665,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,192,2,2,1,1,115.9437,conv3d_implicit_t128x192_w2x2_g1,0.0,630.82,1835.41
gfx950,256,1,192,1,332,332,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,4,2,8,1,173.2947,conv3d_implicit_t128x128_w4x2_g8,0.0,844.1,740.39
gfx950,256,1,384,1,332,332,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,128,2,2,8,1,319.2419,conv3d_implicit_t192x128_w2x2_g8,0.0,916.41,538.65
gfx950,256,1,384,1,333,333,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,192,128,4,1,1,1,95.0461,conv3d_implicit_t192x128_w4x1_g1,0.0,769.51,1146.6
gfx950,256,1,384,1,166,166,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,128,1,4,1,1,91.2008,conv3d_implicit_t192x128_w1x4_g1,0.0,801.96,493.2
gfx950,256,1,384,1,166,166,32,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,32,32,1,2,4,1,32.5016,conv3d_implicit_t32x32_w1x2_g4,0.0,187.53,712.2
gfx950,256,1,16,1,166,166,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,4,1,18.9025,conv3d_implicit_t128x192_w2x2_g4,0.0,161.22,1172.09
gfx950,256,1,384,1,332,332,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,4,1,1,1,187.2603,conv3d_implicit_t128x192_w4x1_g1,0.0,781.15,685.17
gfx950,256,1,384,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,705.0777,conv3d_implicit_t128x192_w2x2_g1,0.0,829.86,722.25
gfx950,256,1,192,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,96,96,2,3,1,1,696.1235,conv3d_implicit_t96x96_w2x3_g1,0.0,840.53,1459.74
gfx950,256,1,96,1,1328,1328,3,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,48,3,1,1,1,262.3793,conv3d_implicit_t192x48_w3x1_g1,0.0,34.84,1330.88
