N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias
1,3,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,1025,1025,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,96,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,513,513,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,192,1,256,256,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,256,256,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,257,257,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,384,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,128,128,32,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,16,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,256,256,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,1024,1024,3,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,3,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,1329,1329,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,96,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,665,665,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,192,1,332,332,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,332,332,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,333,333,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,384,1,166,166,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,166,166,32,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,16,1,166,166,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,332,332,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,1328,1328,3,1,3,3,1,1,1,0,1,1,1,1,1,1,True
