gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,libtype,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,6,370,546,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,192,128,4,1,1,1,114.6204,conv3d_implicit_t192x128_w4x1_g1,0.0,108.65,1404.95
gfx950,256,1,96,6,370,546,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,192,96,3,1,1,1,515.8687,conv3d_implicit_t192x96_w3x1_g1,0.0,772.51,750.14
gfx950,256,1,96,1,369,545,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,96,2,1,1,1,29.4361,conv3d_implicit_t128x96_w2x1_g1,0.0,282.05,1643.81
gfx950,256,4,96,1,369,545,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,96,2,1,1,1,84.2668,conv3d_implicit_t128x96_w2x1_g1,0.0,394.1,2290.95
gfx950,256,1,96,6,186,274,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,128,192,2,2,1,1,245.1791,conv3d_implicit_t128x192_w2x2_g1,0.0,812.7,557.06
gfx950,256,1,192,6,186,274,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,128,192,2,2,1,1,467.6722,conv3d_implicit_t128x192_w2x2_g1,0.0,852.12,419.71
gfx950,256,1,192,1,185,273,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,64,64,2,2,1,1,29.0128,conv3d_implicit_t64x64_w2x2_g1,0.0,286.16,856.93
gfx950,256,4,192,1,185,273,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,192,2,2,1,1,63.2184,conv3d_implicit_t128x192_w2x2_g1,0.0,525.31,1541.6
gfx950,256,1,192,4,94,138,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,192,128,4,1,4,1,128.5802,conv3d_implicit_t192x128_w4x1_g4,0.0,774.83,335.39
gfx950,256,1,384,4,94,138,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,192,128,4,1,8,1,247.3505,conv3d_implicit_t192x128_w4x1_g8,0.0,805.56,271.0
gfx950,256,1,384,1,93,137,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,32,32,1,2,1,1,39.9273,conv3d_implicit_t32x32_w1x2_g1,0.0,207.94,371.72
gfx950,256,2,384,1,93,137,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,64,64,2,2,1,1,48.5963,conv3d_implicit_t64x64_w2x2_g1,0.0,341.69,556.19
gfx950,256,1,384,3,48,70,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,32,32,1,2,1,1,92.6969,conv3d_implicit_t32x32_w1x2_g1,0.0,268.69,195.33
gfx950,256,1,384,3,48,70,32,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,32,32,1,2,1,1,82.9093,conv3d_implicit_t32x32_w1x2_g1,0.0,25.03,103.79
gfx950,256,1,16,3,48,70,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,32,32,1,2,8,1,13.6485,conv3d_implicit_t32x32_w1x2_g8,0.0,76.04,223.95
gfx950,256,1,384,1,92,136,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,64,64,2,2,8,1,42.5492,conv3d_implicit_t64x64_w2x2_g8,0.0,390.25,369.95
gfx950,256,2,384,1,92,136,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,64,4,1,8,1,62.2034,conv3d_implicit_t192x64_w4x1_g8,0.0,533.88,484.78
gfx950,256,1,384,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,1,4,1,1,100.6792,conv3d_implicit_t128x192_w1x4_g1,0.0,659.71,585.84
gfx950,256,4,384,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,96,96,3,2,8,1,306.6586,conv3d_implicit_t96x96_w3x2_g8,0.0,866.36,756.37
gfx950,256,1,192,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,96,96,2,3,1,1,110.5108,conv3d_implicit_t96x96_w2x3_g1,0.0,601.02,1046.43
gfx950,256,4,192,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,96,96,2,3,1,1,385.5296,conv3d_implicit_t96x96_w2x3_g1,0.0,689.12,1197.25
gfx950,256,1,96,6,370,546,3,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,64,32,1,2,1,1,315.0275,conv3d_implicit_t64x32_w1x2_g1,0.0,39.53,754.05
gfx950,256,1,3,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,192,96,3,1,1,1,183.4564,conv3d_implicit_t192x96_w3x1_g1,0.0,135.42,1750.8
gfx950,256,1,96,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,192,96,3,1,1,1,1017.8687,conv3d_implicit_t192x96_w3x1_g1,0.0,781.03,756.77
gfx950,256,1,96,1,481,833,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,96,1,2,1,1,48.1525,conv3d_implicit_t128x96_w1x2_g1,0.0,343.95,1999.16
gfx950,256,4,96,1,481,833,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,192,128,2,2,1,1,145.1422,conv3d_implicit_t192x128_w2x2_g1,0.0,456.44,2649.54
gfx950,256,1,96,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,128,192,2,2,1,1,469.1156,conv3d_implicit_t128x192_w2x2_g1,0.0,847.33,577.43
gfx950,256,1,192,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,128,192,2,2,1,1,907.9521,conv3d_implicit_t128x192_w2x2_g1,0.0,875.58,427.79
gfx950,256,1,192,1,241,417,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,96,96,2,1,8,1,39.8489,conv3d_implicit_t96x96_w2x1_g8,0.0,415.63,1225.61
gfx950,256,4,192,1,241,417,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,192,2,2,1,1,113.4883,conv3d_implicit_t128x192_w2x2_g1,0.0,583.75,1703.84
gfx950,256,1,192,4,122,210,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,128,128,2,4,8,1,226.6154,conv3d_implicit_t128x128_w2x4_g8,0.0,877.02,360.4
gfx950,256,1,384,4,122,210,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,128,128,4,2,8,1,456.0575,conv3d_implicit_t128x128_w4x2_g8,0.0,871.59,274.1
gfx950,256,1,384,1,121,209,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,64,64,2,2,1,1,48.43,conv3d_implicit_t64x64_w2x2_g1,0.0,341.98,554.79
gfx950,256,2,384,1,121,209,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,128,2,1,8,1,69.0418,conv3d_implicit_t128x128_w2x1_g8,0.0,479.77,739.88
gfx950,256,1,384,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,64,64,2,2,1,1,114.8236,conv3d_implicit_t64x64_w2x2_g1,0.0,432.72,242.95
gfx950,256,1,384,3,62,106,32,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,32,32,1,2,4,1,84.4593,conv3d_implicit_t32x32_w1x2_g4,0.0,49.02,191.87
gfx950,256,1,16,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,64,64,2,2,8,1,15.4264,conv3d_implicit_t64x64_w2x2_g8,0.0,134.2,373.06
gfx950,256,1,384,1,120,208,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,96,96,2,1,8,1,59.1758,conv3d_implicit_t96x96_w2x1_g8,0.0,559.76,508.33
gfx950,256,2,384,1,120,208,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,1,4,1,1,98.1613,conv3d_implicit_t128x192_w1x4_g1,0.0,674.9,599.37
