N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias
1,3,6,370,546,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,96,6,370,546,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,96,1,369,545,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True
4,96,1,369,545,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,96,6,186,274,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,192,6,186,274,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,192,1,185,273,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True
4,192,1,185,273,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,192,4,94,138,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,4,94,138,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,1,93,137,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True
2,384,1,93,137,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,384,3,48,70,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,3,48,70,32,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,16,3,48,70,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,1,92,136,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
2,384,1,92,136,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
4,384,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
4,192,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,6,370,546,3,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,3,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,96,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,96,1,481,833,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True
4,96,1,481,833,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,96,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,192,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,192,1,241,417,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True
4,192,1,241,417,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,192,4,122,210,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,4,122,210,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,1,121,209,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True
2,384,1,121,209,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,384,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,3,62,106,32,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,16,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,1,120,208,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
2,384,1,120,208,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,240,416,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
4,384,1,240,416,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,480,832,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
4,192,1,480,832,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,6,482,834,3,3,3,3,1,1,1,0,0,0,1,1,1,1,True
